record_id,source_type,domain,library,title,content,code_signature,tags,url,author,date_published,votes_or_stars,relevance_label,difficulty_level
7d43e928-ded2-47a5-9f7c-8c3d0735eeb9,documentation,NumPy/Pandas,Pandas,Pandas Merging DataFrames — official reference,"Official documentation for Pandas Merging DataFrames. The method signature is `pd.merge(left, right, on, how='inner')`. merges two DataFrames using SQL-style joins. Raises `MergeError` when merge keys produce duplicate columns. See also: df.join, df.concat.","pd.merge(left, right, on, how='inner')","vectorization, broadcasting, nan, dtype, reshape",https://docs.pandas.org/en/stable/pd/merge.html,Official Docs,15-02-2024,4496,high,intermediate
3673803f-652e-453d-9306-4cc0e5d843f3,stack_overflow,Requests/HTTP/APIs,retry,How to handle rate limiting with the requests library?,"```python
from tenacity import retry, wait_exponential, stop_after_attempt
@retry(wait=wait_exponential(min=1, max=60), stop=stop_after_attempt(5))
def call_api(url):
    r = requests.get(url)
    r.raise_for_status()
    return r.json()
```
Check `Retry-After` header in 429 responses. For async: use `aiohttp` with tenacity.",Implement exponential backoff with the tenacity or backoff library.,"http, oauth, rest-api, authentication, httpx, retry",https://stackoverflow.com/questions/1604451,user_885136,22-12-2022,640,high,advanced
9c43ce7d-5d4b-49e5-9871-9a4534720acf,stack_overflow,Asyncio/Threading,coroutine,How to implement a thread pool in Python?,"```python
from concurrent.futures import ThreadPoolExecutor
with ThreadPoolExecutor(max_workers=8) as ex:
    futures = [ex.submit(task, arg) for arg in args]
    results = [f.result() for f in futures]
```
For CPU-bound: use ProcessPoolExecutor instead. For async integration: `await loop.run_in_executor(executor, func, *args)`.",Use concurrent.futures.ThreadPoolExecutor for I/O-bound tasks.,"lock, gather, executor",https://stackoverflow.com/questions/3646552,user_469469,02-06-2023,1532,low,advanced
1c570767-2f5a-4811-8e17-2b02a4e47fe1,stack_overflow,OS/Subprocess/File I/O,shutil,How to read a large file line by line in Python without loading it all into memory?,"```python
with open('large.txt', 'r') as f:
    for line in f:
        process(line.strip())
```
This reads one line at a time. For binary files: use `f.read(chunk_size)` in a loop. For CSV: use `pd.read_csv(file, chunksize=10000)`. Never use `f.readlines()` on large files.",Iterate over the file object directly — it yields lines lazily.,"pathlib, glob, os",https://stackoverflow.com/questions/2737893,user_994539,31-12-2020,2311,low,advanced
3e001a2d-92fd-46cd-9eff-99f83d184f13,github_issue,OS/Subprocess/File I/O,cpython,BUG: os.path.join ignores prefix when component starts with /,"Problem: os.path.join('base', '/absolute') returns '/absolute', ignoring 'base'.

Fix/Discussion: This is documented behavior: os.path.join discards previous components when it encounters an absolute path. Fix: use `pathlib.Path(base) / component.lstrip('/')`. Validate user-provided paths with `Path(path).resolve().is_relative_to(base_dir)` to prevent path traversal.",status:closed,"os, glob, pipe, stdout",https://github.com/cpython/cpython/issues/7712,contributor_8802,31-12-2018,414,high,beginner
76550b3c-af44-4633-8d08-caaaf3112550,stack_overflow,Requests/HTTP/APIs,requests,How to upload a file with requests?,"```python
with open('file.pdf', 'rb') as f:
    r = requests.post(url, files={'file': ('file.pdf', f, 'application/pdf')})
```
For multiple files: pass a list of tuples. For multipart form data with fields: combine `files` and `data` parameters. Don't set Content-Type manually — requests sets it with boundary.",Use the files parameter with a file-like object or tuple.,"timeout, authentication, websocket, http",https://stackoverflow.com/questions/8896868,user_243238,22-11-2022,1547,high,beginner
8331d943-8dba-47bf-84d7-494573ce6263,stack_overflow,NumPy/Pandas,loc,How do I efficiently fill NaN values in a Pandas DataFrame?,"For large DataFrames, avoid looping. Use `df.fillna({'col': val})` to fill specific columns. `df.ffill()` propagates last valid observation forward. For time-series data, `df.interpolate()` provides smoother results. Always check `df.isna().sum()` before and after to verify.",Use df.fillna(value) or df.ffill()/df.bfill() for forward/backward fill.,"nan, dataframe, pivot, reshape, loc, iloc",https://stackoverflow.com/questions/6438436,user_522340,21-11-2022,13,high,beginner
2f6c144b-4b68-497a-81d8-3693d23adec9,github_issue,FastAPI/Flask/Django,django,PERF: Django template rendering bottleneck in production,"Problem: Template rendering takes 500ms+ for complex pages with many database queries.

Fix/Discussion: Primary cause is N+1 queries in template. Solutions: (1) Use select_related/prefetch_related. (2) Cache rendered templates with `cache` template tag. (3) Use `django-cachalot` for query caching. (4) Move heavy computation to views, pass pre-computed context. (5) Consider server-side caching with Redis.",status:closed,"response, flask, routing",https://github.com/django/django/issues/3243,contributor_6988,06-12-2024,69,low,advanced
815d4d45-d6f0-4007-be22-be4473e63abb,stack_overflow,NumPy/Pandas,loc,How do I efficiently fill NaN values in a Pandas DataFrame?,"For large DataFrames, avoid looping. Use `df.fillna({'col': val})` to fill specific columns. `df.ffill()` propagates last valid observation forward. For time-series data, `df.interpolate()` provides smoother results. Always check `df.isna().sum()` before and after to verify.",Use df.fillna(value) or df.ffill()/df.bfill() for forward/backward fill.,"pivot, vectorization, array, iloc, reshape",https://stackoverflow.com/questions/6438436,user_522340,23-08-2022,1,low,intermediate
727d2380-38e8-40b6-a1f2-68eabfc40714,github_issue,FastAPI/Flask/Django,fastapi,BUG: FastAPI dependency_overrides not working in pytest,"Problem: Dependency overrides set in conftest are not applied during test execution.

Fix/Discussion: Set overrides on the app object before TestClient is created. Use `app.dependency_overrides[dep] = mock_dep` in a pytest fixture with function scope. Clear overrides after test: `app.dependency_overrides = {}`. Ensure TestClient is created after overrides are set.",status:closed,"template, blueprint, django, request, flask, response",https://github.com/fastapi/fastapi/issues/8479,contributor_1994,22-07-2019,317,medium,advanced
5e99f4fc-3b6c-442d-988d-713cef14ec86,stack_overflow,FastAPI/Flask/Django,django,Flask: how to return JSON responses properly?,"`return jsonify({'key': 'value'})` sets Content-Type to application/json. Flask 1.0+ automatically converts returned dicts to JSON responses. For custom status codes: `return jsonify(data), 201`. For errors: use `abort(404)` or return `({'error': 'Not found'}, 404)`.",Use jsonify() or return a dict directly (Flask 1.0+).,"blueprint, pydantic, middleware, routing, template",https://stackoverflow.com/questions/8930103,user_264801,12-04-2022,2211,high,beginner
70efaa98-679f-4c61-85dd-b28180d9b2b1,stack_overflow,SQLAlchemy/Databases,session,How to implement database connection pooling with SQLAlchemy?,"`create_engine(url, pool_size=10, max_overflow=20, pool_timeout=30, pool_recycle=1800)`. Use `pool_pre_ping=True` to detect stale connections. For async: use `AsyncEngine` with `create_async_engine()`. Monitor with `engine.pool.status()`. NullPool disables pooling for scripts/serverless environments.",create_engine() has built-in pooling. Configure pool_size and max_overflow.,"relationship, sqlalchemy, query",https://stackoverflow.com/questions/7358113,user_12260,19-07-2021,220,high,intermediate
71d7fcf6-a1b8-4d47-8f2d-cf08afb11ffd,stack_overflow,FastAPI/Flask/Django,django,Flask: how to return JSON responses properly?,"`return jsonify({'key': 'value'})` sets Content-Type to application/json. Flask 1.0+ automatically converts returned dicts to JSON responses. For custom status codes: `return jsonify(data), 201`. For errors: use `abort(404)` or return `({'error': 'Not found'}, 404)`.",Use jsonify() or return a dict directly (Flask 1.0+).,"middleware, flask, orm, rest",https://stackoverflow.com/questions/8930103,user_264801,16-08-2018,2219,high,advanced
bce33477-efd6-4bad-8e32-e19873369ae7,documentation,Asyncio/Threading,asyncio,How to use asyncio.create_task in asyncio,"`asyncio.asyncio.create_task` schedules a coroutine as a Task in the event loop. Example usage:
```python
task = asyncio.create_task(send_email(user))
await task
```
This is useful when fire-and-forget background tasks, concurrent task management. Performance tip: use TaskGroup (Python 3.11+) for structured concurrency.",asyncio.create_task,"race-condition, asyncio, lock, await, executor, gather",https://docs.asyncio.org/en/stable/asyncio/create_task.html,Official Docs,04-11-2018,4144,high,beginner
d6a203e6-350c-4f5b-9d9d-e77809b60d4f,github_issue,FastAPI/Flask/Django,django,FEAT: Django: add support for async ORM queries,"Problem: Django ORM is synchronous; using it in async views requires sync_to_async wrapper.

Fix/Discussion: Django 4.1+ added native async ORM support. Use `await Model.objects.filter().afirst()`, `async for obj in qs:`. For older versions: wrap with `sync_to_async`: `get_user = sync_to_async(User.objects.get)
user = await get_user(pk=1)`.",status:closed,"dependency-injection, pydantic, orm, flask, response",https://github.com/django/django/issues/8618,contributor_8921,19-06-2024,21,high,advanced
bb78d29a-67d1-4c70-8284-a41cdac5a5d7,documentation,OS/Subprocess/File I/O,os,os Environment Variables — official reference,"Official documentation for os Environment Variables. The method signature is `os.environ(key)`. provides a mapping of the current environment variables. Raises `KeyError` when key is accessed with [] notation and is not set. See also: dotenv, os.getenv, os.putenv.",os.environ(key),"pathlib, subprocess, stderr",https://docs.os.org/en/stable/os/environ.html,Official Docs,02-11-2018,2265,high,beginner
b37ff177-3fcf-46b4-b4a1-8167020de213,github_issue,Asyncio/Threading,cpython,PERF: concurrent.futures.ProcessPoolExecutor slow startup on Windows,"Problem: ProcessPoolExecutor takes 3-5 seconds to start on Windows due to process spawning overhead.

Fix/Discussion: Windows uses 'spawn' start method (vs 'fork' on Linux). Mitigations: (1) Reuse executor across calls — don't create/destroy in loops. (2) Use 'forkserver' or 'fork' on Linux/macOS. (3) For short tasks, ThreadPoolExecutor may be faster. (4) Use `initializer` param to pre-load modules.",status:closed,"executor, gather, event-loop, lock",https://github.com/cpython/cpython/issues/6647,contributor_4097,27-08-2020,258,high,advanced
28660e2a-97c8-49af-8330-126727b30782,documentation,FastAPI/Flask/Django,Flask,How to use @app.route in Flask,"`Flask.@app.route` maps a URL rule to a view function. Example usage:
```python
@app.route('/users/<int:uid>')
def get_user(uid):
    return jsonify(user)
```
This is useful when defining HTTP endpoints in a Flask application. Performance tip: use Blueprints to organize large applications.",@app.route,"rest, flask, orm, request",https://docs.flask.org/en/stable/@app/route.html,Official Docs,02-04-2019,2987,medium,intermediate
f54fd18c-4a3d-477c-a02e-e8d212bf5743,stack_overflow,NumPy/Pandas,numpy,NumPy broadcasting error: operands could not be broadcast with shapes,"NumPy broadcasts shapes right-to-left. Arrays (3,4) and (4,) are compatible. Arrays (3,4) and (3,) are not — reshape to (3,1). Use `arr.reshape(-1,1)` to add a dimension. Always print `a.shape, b.shape` before operations to debug. `np.expand_dims(arr, axis=1)` is cleaner than reshape for adding dimensions.",Shapes must be compatible: dimensions must match or one of them must be 1.,"loc, numpy, dtype, broadcasting, vectorization",https://stackoverflow.com/questions/4860684,user_627024,26-03-2023,1409,high,beginner
7adee526-0bee-42e6-ba48-41c9013fe864,stack_overflow,Requests/HTTP/APIs,json,How to stream large HTTP responses with requests?,"```python
with requests.get(url, stream=True) as r:
    r.raise_for_status()
    with open('file', 'wb') as f:
        for chunk in r.iter_content(chunk_size=8192):
            f.write(chunk)
```
Always use as context manager with stream=True to ensure connection is released.",Use stream=True and iterate over response.iter_content() or iter_lines().,"aiohttp, timeout, authentication",https://stackoverflow.com/questions/3592974,user_980733,21-12-2019,1651,medium,beginner
938c0230-0b42-405a-9c08-7ed7f39070c2,github_issue,Asyncio/Threading,cpython,PERF: concurrent.futures.ProcessPoolExecutor slow startup on Windows,"Problem: ProcessPoolExecutor takes 3-5 seconds to start on Windows due to process spawning overhead.

Fix/Discussion: Windows uses 'spawn' start method (vs 'fork' on Linux). Mitigations: (1) Reuse executor across calls — don't create/destroy in loops. (2) Use 'forkserver' or 'fork' on Linux/macOS. (3) For short tasks, ThreadPoolExecutor may be faster. (4) Use `initializer` param to pre-load modules.",status:closed,"asyncio, await, race-condition, deadlock",https://github.com/cpython/cpython/issues/6647,contributor_4097,20-02-2024,245,medium,advanced
7d46c0e4-01d5-4074-9b90-a9ce3f436367,stack_overflow,SQLAlchemy/Databases,sqlalchemy,SQLAlchemy: how to avoid DetachedInstanceError?,DetachedInstanceError occurs when accessing a relationship after the session is closed. Solutions: (1) Use `joinedload()` or `subqueryload()` to eagerly load relationships. (2) Keep session open while accessing objects. (3) Use `expire_on_commit=False` on sessionmaker. (4) Convert to dict/DTO before closing session.,"Access lazy-loaded relationships within the session scope, or use eager loading.","orm, connection-pool, relationship, sqlalchemy, alembic",https://stackoverflow.com/questions/1247595,user_107793,01-04-2021,431,high,intermediate
d7bbe627-ef23-41cf-b23b-6c83ae0aede0,github_issue,SQLAlchemy/Databases,alembic,BUG: Alembic autogenerate misses index changes,"Problem: Alembic --autogenerate does not detect changes to indexes or constraints on existing tables.

Fix/Discussion: Alembic autogenerate compares metadata to database state but has limitations. Workarounds: (1) Manually add `op.create_index()` to migration. (2) Use `include_schemas=True` in env.py. (3) Run `alembic check` to see detected changes. (4) Always review autogenerated migrations before applying.",status:open,"sqlite, orm, session, sqlalchemy, connection-pool, migration",https://github.com/alembic/alembic/issues/7344,contributor_3601,02-03-2019,214,medium,advanced
27026465-be3c-4c99-8c42-bad7fc0e8480,stack_overflow,NumPy/Pandas,array,Why is my Pandas merge creating duplicate rows?,Duplicate rows after merge usually mean the join key is not unique. Diagnose with `df.duplicated(subset=['key']).sum()`. Use `how='left'` carefully when right table has multiple matches. Set `validate='one_to_many'` or `'many_to_one'` to enforce cardinality. Consider deduplicating with `df.drop_duplicates(subset=['key'])` before merging.,Your merge key has duplicates in one or both DataFrames. Use validate='one_to_one' to catch this early.,"groupby, pivot, loc",https://stackoverflow.com/questions/2321324,user_99814,03-05-2022,231,medium,intermediate
073cc390-ab10-4164-a434-b2c4ea60856e,stack_overflow,NumPy/Pandas,array,Why is my Pandas merge creating duplicate rows?,Duplicate rows after merge usually mean the join key is not unique. Diagnose with `df.duplicated(subset=['key']).sum()`. Use `how='left'` carefully when right table has multiple matches. Set `validate='one_to_many'` or `'many_to_one'` to enforce cardinality. Consider deduplicating with `df.drop_duplicates(subset=['key'])` before merging.,Your merge key has duplicates in one or both DataFrames. Use validate='one_to_one' to catch this early.,"broadcasting, reshape, vectorization, array",https://stackoverflow.com/questions/2321324,user_99814,14-06-2023,247,medium,beginner
8882d998-f299-4cd3-b9d9-51575dbfa4bd,documentation,OS/Subprocess/File I/O,subprocess,subprocess — Process Execution,"The `subprocess.run` function in subprocess runs a subprocess and waits for it to complete. It accepts `args, capture_output=False, timeout=None` as a parameter and returns CompletedProcess. Common use cases include executing shell commands, scripts, or external programs from Python. Note that use shell=False (default) to avoid shell injection vulnerabilities.","subprocess.run(args, capture_output=False, timeout=None) -> CompletedProcess","os, shutil, stdout, tempfile, glob",https://docs.subprocess.org/en/stable/subprocess/run.html,Official Docs,10-10-2024,413,medium,advanced
4ca6a5fb-b202-4cb0-96a0-654cf14a352c,github_issue,Requests/HTTP/APIs,requests,BUG: requests hangs indefinitely on slow server responses,"Problem: requests.get() hangs forever when server accepts connection but never sends response.

Fix/Discussion: Always set both connect and read timeouts: `requests.get(url, timeout=(3.05, 27))`. Tuple: (connect_timeout, read_timeout). Or single value for both. Mount a Session with default timeouts using a custom HTTPAdapter subclass. Never use `timeout=None` in production code.",status:closed,"oauth, rest-api, retry",https://github.com/requests/requests/issues/4019,contributor_4599,07-12-2023,253,high,beginner
e8e66a94-ca00-49d3-88b9-b22698e1fbe1,stack_overflow,Asyncio/Threading,lock,Python threading: how to share data between threads safely?,"For simple counters: use `threading.Lock()` as context manager. For complex shared state: prefer `queue.Queue` (thread-safe by design). Avoid global variables without locks. `threading.local()` gives each thread its own data copy. For read-heavy workloads, `threading.RLock` allows re-entrant acquisition.",Use threading.Lock for mutual exclusion or queue.Queue for producer-consumer patterns.,"task, deadlock, asyncio, lock",https://stackoverflow.com/questions/3195773,user_714318,30-07-2024,1109,high,advanced
